X,Z,Yard Line Reference,Side,Position Description
0,0,0,2,"S2, 16 steps outside the 0 yard line, On front sideline"
0,0.625,0,2,"S2, 15 steps outside the 0 yard line, On front sideline"
0,1.25,0,2,"S2, 14 steps outside the 0 yard line, On front sideline"
0,1.875,0,2,"S2, 13 steps outside the 0 yard line, On front sideline"
0,2.5,0,2,"S2, 12 steps outside the 0 yard line, On front sideline"
0,3.125,0,2,"S2, 11 steps outside the 0 yard line, On front sideline"
0,3.75,0,2,"S2, 10 steps outside the 0 yard line, On front sideline"
0,4.375,0,2,"S2, 9 steps outside the 0 yard line, On front sideline"
0,5,0,2,"S2, 8 steps outside the 0 yard line, On front sideline"
0,5.625,0,2,"S2, 7 steps outside the 0 yard line, On front sideline"
0,6.25,0,2,"S2, 6 steps outside the 0 yard line, On front sideline"
0,6.875,0,2,"S2, 5 steps outside the 0 yard line, On front sideline"
0,7.5,0,2,"S2, 4 steps outside the 0 yard line, On front sideline"
0,8.125,0,2,"S2, 3 steps outside the 0 yard line, On front sideline"
0,8.75,0,2,"S2, 2 steps outside the 0 yard line, On front sideline"
0,9.375,0,2,"S2, 1 steps outside the 0 yard line, On front sideline"
0,10,0,2,"S2, On the 0 yard line, On front sideline"
0,10.625,0,2,"S2, 1 steps inside 0 yard line, On front sideline"
0,11.25,0,2,"S2, 2 steps inside 0 yard line, On front sideline"
0,11.875,0,2,"S2, 3 steps inside 0 yard line, On front sideline"
0,12.5,5,2,"S2, 4 steps outside 5 yard line, On front sideline"
0,13.125,5,2,"S2, 3 steps outside 5 yard line, On front sideline"
0,13.75,5,2,"S2, 2 steps outside 5 yard line, On front sideline"
0,14.375,5,2,"S2, 1 steps outside 5 yard line, On front sideline"
0,15,5,2,"S2, On 5 yard line, On front sideline"
0,15.625,5,2,"S2, 1 steps inside 5 yard line, On front sideline"
0,16.25,5,2,"S2, 2 steps inside 5 yard line, On front sideline"
0,16.875,5,2,"S2, 3 steps inside 5 yard line, On front sideline"
0,17.5,10,2,"S2, 4 steps outside 10 yard line, On front sideline"
0,18.125,10,2,"S2, 3 steps outside 10 yard line, On front sideline"
